P,Q,loglik,AICc
0,0,207.437800820103,-412.824319588924
0,1,210.09485779727,-416.033871438695
0,2,210.284142184811,-414.252494895939
0,3,206.912996328135,-405.292659322936
0,4,202.789682270153,-394.768553729495
0,5,201.107930665214,-389.065176398921
0,6,198.255774028549,-380.955992501541
0,7,195.167871319595,-372.307573625105
0,8,191.573782345732,-362.576136120036
0,9,188.120137475061,-353.05186915302
0,10,184.789644078961,-343.696935216746
GARCH,-,212.226937177,-418.138084880316
